"id","name","priority","is_residence","is_stopped"
"0","不明","9999","FALSE","FALSE"
"101","キッチン","10","TRUE","FALSE"
"102","浴室","20","TRUE","FALSE"
"103","洗面","30","TRUE","FALSE"
"104","トイレ","40","TRUE","FALSE"
"105","空調","50","TRUE","FALSE"
"106","光熱","60","TRUE","FALSE"
"107","室内設備","70","TRUE","FALSE"
"108","通信","80","TRUE","FALSE"
"109","収納","90","TRUE","FALSE"
"110","室内空間","100","TRUE","FALSE"
"111","部屋特徴","110","TRUE","FALSE"
"112","バルコニー等","120","TRUE","FALSE"
"113","防犯","130","TRUE","FALSE"
"114","入居条件","140","TRUE","FALSE"
"201","建物設備","210","TRUE","FALSE"
"202","建物特徴","220","TRUE","FALSE"
"203","駐輪","230","TRUE","FALSE"
"204","駐車","240","TRUE","FALSE"
"205","立地","250","TRUE","FALSE"
"301","事業用特徴","310","FALSE","FALSE"
